,名称,階数,家賃,管理費,間取り,面積,URL
646,四ツ居エンビイハイツ,4階,2万円,-,1K,15.69m2,https://suumo.jp/chintai/jnc_000036404572/?bc=100275676607
647,四ツ居エンビイハイツ,4階,2.6万円,-,1K,19.08m2,https://suumo.jp/chintai/jnc_000016562144/?bc=100262906279
648,四ツ居エンビイハイツ,3階,2.6万円,-,1K,19.08m2,https://suumo.jp/chintai/jnc_000028684368/?bc=100262906282
649,四ツ居エンビイハイツ,4階,2.6万円,-,1K,19.08m2,https://suumo.jp/chintai/jnc_000016562145/?bc=100272783980
650,信開ウエラコート足羽,1階,1.6万円,4000円,1K,15.22m2,https://suumo.jp/chintai/jnc_000066037286/?bc=100230432905
651,信開ウエラコート足羽,4階,2.5万円,4000円,1K,15.22m2,https://suumo.jp/chintai/jnc_000069533924/?bc=100255348467
652,信開ウエラコート足羽,3階,2.5万円,4000円,1K,15.22m2,https://suumo.jp/chintai/jnc_000072395198/?bc=100271288581
653,サン・ビレッジ辻久,3階,1.9万円,2000円,1K,18.1m2,https://suumo.jp/chintai/jnc_000057445463/?bc=100284438536
654,サン・ビレッジ辻久,1階,2万円,2000円,1K,18.1m2,https://suumo.jp/chintai/jnc_000046027018/?bc=100279512267
655,Ｕコーポ,2階,2.2万円,-,1K,24.87m2,https://suumo.jp/chintai/jnc_000072539240/?bc=100273344694
656,コーポホリタ,3階,2.2万円,-,1K,22.5m2,https://suumo.jp/chintai/jnc_000063444989/?bc=100224884420
657,三信コーポ,3階,2.2万円,-,1K,20.98m2,https://suumo.jp/chintai/jnc_000070083836/?bc=100078998819
658,西方レジデンス,1階,1.9万円,3000円,1K,20.14m2,https://suumo.jp/chintai/jnc_000074466051/?bc=100291570170
659,信開トピア足羽,5階,1.9万円,5000円,1K,15.63m2,https://suumo.jp/chintai/jnc_000017924222/?bc=100227614433
660,信開トピア足羽,4階,2万円,5000円,1K,18.22m2,https://suumo.jp/chintai/jnc_000013849939/?bc=100231652080
661,信開トピア足羽,4階,2万円,5000円,1K,17.7m2,https://suumo.jp/chintai/jnc_000073641211/?bc=100279207861
662,信開トピア足羽,6階,2.2万円,5000円,1K,15.63m2,https://suumo.jp/chintai/jnc_000065982091/?bc=100223967294
663,信開トピア足羽,2階,2.4万円,6000円,1K,26.89m2,https://suumo.jp/chintai/jnc_000074278435/?bc=100282660282
664,メゾンブランシュ,2階,2.1万円,3000円,1K,23m2,https://suumo.jp/chintai/jnc_000070744298/?bc=100264022229
665,メゾンブランシュ,2階,2.1万円,3000円,1K,23m2,https://suumo.jp/chintai/jnc_000073585885/?bc=100272786827
666,メゾンブランシュ,2階,2.1万円,3000円,1K,23m2,https://suumo.jp/chintai/jnc_000046126898/?bc=100270777345
667,メゾンブランシュ,1階,2.1万円,3000円,1K,23m2,https://suumo.jp/chintai/jnc_000073735347/?bc=100271196260
668,サンライズ二の宮,2階,2.45万円,-,1DK,30.6m2,https://suumo.jp/chintai/jnc_000072632192/?bc=100273537603
669,南京貸家,1階,2.5万円,-,2K,40m2,https://suumo.jp/chintai/jnc_000075478904/?bc=100289059004
670,コーポヤシロ南,2階,2.5万円,-,1K,26.6m2,https://suumo.jp/chintai/jnc_000075012240/?bc=100286403515
671,コーポヤシロ南,2階,3万円,-,1DK,32.3m2,https://suumo.jp/chintai/jnc_000075012241/?bc=100286402010
672,コーポラス円山,3階,2.5万円,-,1K,25.92m2,https://suumo.jp/chintai/jnc_000056527027/?bc=100288166234
673,ピーチジョー県大,2階,2.2万円,3000円,1DK,22m2,https://suumo.jp/chintai/jnc_000074793392/?bc=100285170882
674,渡辺ハイツ,1階,2.5万円,-,1K,21.88m2,https://suumo.jp/chintai/jnc_000023675263/?bc=100010020245
675,アーバンヒム,2階,2.5万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000054938748/?bc=100282258138
676,アーバンヒム,3階,2.5万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000045851869/?bc=100286700913
677,アーバンヒム,2階,2.5万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000039133204/?bc=100285215955
678,リネンハイツ,3階,2.5万円,-,1K,20.6m2,https://suumo.jp/chintai/jnc_000066413284/?bc=100239728071
679,花月レジデンス,1階,2.5万円,-,1K,20.05m2,https://suumo.jp/chintai/jnc_000075471978/?bc=100289040511
680,西木田コーポ,1階,2.5万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000037268614/?bc=100265923511
681,西木田コーポ,1階,2.5万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000037268615/?bc=100024161754
682,光陽キャンパス,2階,2.5万円,-,1K,19.87m2,https://suumo.jp/chintai/jnc_000025265998/?bc=100010900943
683,信開トピア足羽,7階,2.5万円,-,1K,18.22m2,https://suumo.jp/chintai/jnc_000074371379/?bc=100270133602
684,信開トピア足羽,3階,2.5万円,-,1K,15.63m2,https://suumo.jp/chintai/jnc_000074371375/?bc=100270133607
685,信開トピア足羽,5階,2.5万円,-,1K,15.63m2,https://suumo.jp/chintai/jnc_000074371376/?bc=100270133604
686,信開トピア足羽,5階,2.9万円,-,1K,18.22m2,https://suumo.jp/chintai/jnc_000074371378/?bc=100270133610
687,信開トピア足羽,5階,2.9万円,-,1K,15.63m2,https://suumo.jp/chintai/jnc_000074371377/?bc=100270133611
688,ビレッジハウス北金津1号棟,5階,2.6万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074807882/?bc=100292066819
689,ビレッジハウス北金津2号棟,4階,2.6万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000075227378/?bc=100291768011
690,信開ウエラコート花月,3階,2.1万円,5000円,1K,16.6m2,https://suumo.jp/chintai/jnc_000056213377/?bc=100285440634
691,信開ウエラコート花月,6階,2.1万円,8000円,1K,20.35m2,https://suumo.jp/chintai/jnc_000060007814/?bc=100267663979
692,シティガーデン照手,7階,2.3万円,3000円,1K,15.63m2,https://suumo.jp/chintai/jnc_000071697518/?bc=100267925248
693,ライフワードｓａｂａｅ,1階,2.7万円,-,2K,38m2,https://suumo.jp/chintai/jnc_000069619633/?bc=100293139364
694,ビレッジハウス行松2号棟,5階,2.7万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000076114219/?bc=100292940801
695,ビレッジハウス行松2号棟,4階,2.8万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000075696728/?bc=100291768000
696,ジョイビレッジ辻久,2階,2.7万円,-,1K,25.8m2,https://suumo.jp/chintai/jnc_000076077376/?bc=100265080297
697,ジョイビレッジ辻久,1階,2.7万円,-,1K,25.8m2,https://suumo.jp/chintai/jnc_000076077374/?bc=100266926961
698,ジョイビレッジ辻久,2階,2.7万円,-,1K,24.5m2,https://suumo.jp/chintai/jnc_000076077375/?bc=100281246314
699,ジョイビレッジ辻久,1階,2.9万円,-,1K,25.8m2,https://suumo.jp/chintai/jnc_000047656590/?bc=100276492236
